# One line per declaration whose own first sentence will not fit the column limit.
# <path>:<line of the comment block> | the one line
Source/Application/Application.ThemesManager_Elements.cppm:23 | The states an element paints with, in the order PaintEvent applies them.
Source/Application/Application.ThemesManager_Elements.cppm:124 | Every element a theme colours, in ThemeColors declaration order.
Source/Application/Application.ThemesManager_Elements.cppm:151 | What one element is: its spellings, the ThemeColors member, and its rules.
Source/Controls/Base/DropdownControlBase.cppm:66 | A control that drops a popup, and the strip that says so.
Source/Controls/Base/MessageBoxBase.cppm:45 | The shell every dialog of this family is - title, middle, answers.
Source/Controls/Base/SplitButtonBase.cppm:16 | A button carrying a second target that is pressed on its own account.
Source/Controls/Browser/Browser.BreadCrumbBar.cppm:44 | A crumb is about to drop its list, and asks what pages lie under this one.
Source/Controls/Grids/Grids-Cell.cppm:42 | The text an in-place edit was left with, on its way back to the cell's source.
Source/Controls/Grids/Grids-Columns.cppm:42 | What an in-place editor over this column's cells is for, and whether one opens.
Source/Controls/Grids/Grids-Descriptor.cppm:30 | Which of a grid's inner lines are drawn, the frame around it aside.
Source/Controls/Grids/Grids-RowBase.cppm:34 | One cell of one row, as the cell walk reports it.
Source/Controls/Grids/Grids-RowExpander.cppm:28 | A row whose header is held at the top of the view while its body scrolls under.
Source/Controls/Grids/Grids-RowGroupBase.cppm:15 | A row made of a header row and a grid of rows, laid over each other.
Source/Controls/Grids/Grids-SubGrid.cppm:10 | The body of a group or a section, filling the columns of the grid it stands in.
Source/Controls/Grids/Grids_Dt.cppm:184 | One column of the described grid, and any sub-columns nested in it.
Source/Controls/Grids/Grids_Dt.cppm:219 | An anonymous group whose children are spliced into the enclosing collection.
Source/Controls/Grids/Grids_Dt.cppm:242 | One cell of a described row: the column it fills, and where its text comes from.
Source/Controls/Grids/Grids_Dt.cppm:281 | A reusable bundle of cells, referenced from every row that shares it.
Source/Controls/Grids/Grids_Dt.cppm:303 | One row of the described grid, an ordinary RowContainer with its cells.
Source/Controls/Grids/Grids_Dt.cppm:327 | A described expander: a header of text alone, and the rows of its body.
Source/Controls/Grids/Grids_Dt.cppm:352 | A described group: a header row sectioned by the same columns, and its rows.
Source/Controls/HexView.cppm:36 | The selection has come to rest somewhere new.
Source/Controls/HexView.cppm:49 | Bytes drawn as the three columns a hex dump has: offset, digits, characters.
Source/Controls/InPlaceEdit.cppm:55 | What an in-place editor is placed over, and how far it may grow.
Source/Controls/MessageDialog.cppm:43 | A short question and a row of answers, dropped under the control that raised it.
Source/Controls/PromptDialog.cppm:22 | A question with one line of text for its answer, dropped under its control.
Source/Controls/ScrollBox.cppm:22 | A bar on whichever axis the content overruns, and none on the axis it fits.
Source/Controls/TextBox.cppm:46 | The caret has come to rest somewhere new.
Source/Diagnostic/Diagnostic.Benchmark.cppm:18 | A running aggregate of one measured quantity - last, extremes, mean.
Source/Diagnostic/Diagnostic.Benchmark.cppm:44 | The share of one core this process is taking, sampled once a second at most.
Source/Diagnostic/Diagnostic.Benchmark.cppm:88 | The frames measured inside one slice of the history, held as their totals.
Source/Diagnostic/Diagnostic.Benchmark.cppm:114 | Times a piece of work, keeping a running aggregate and the last two seconds.
Source/Diagnostic/Diagnostic.FpsChart.cppm:42 | The frame rate over the last two seconds, drawn against an axis that names it.
Source/Diagnostic/Diagnostic.FpsPage.cppm:24 | What the framework window under the pointer costs to paint.
Source/Icons/ColorChannelSweep.cppm:39 | Whether the wedges of a pie meet, or stop short and let the backdrop through.
Source/Icons/ColorChannelSweep.cppm:44 | Wedges stop short, leaving the surface behind the icon showing as spokes.
Source/Icons/ColorChannelSweep.cppm:63 | The channel wraps: the colour at the seam is the same from both sides.
Source/Icons/Magnifier.cppm:29 | A band of theme surface round the outside, so the glass reads as lying on top.
Source/Icons/MessageBadge.cppm:21 | Where a glyph goes and what it is drawn with, as fractions of the whole badge.
Source/Platform/Linux/Linux.Fonts.cppm:63 | The faces fontconfig answers for one family at one weight and slant.
Source/Platform/Wayland/Wayland.Display.cppm:19 | What the display delivers to, knowing nothing of what a window is.
Source/Platform/Wayland/Wayland.Display.cppm:69 | A selection, and which of the two clipboard channels it arrived on.
Source/Platform/Wayland/Wayland.Display.cppm:83 | The connection, the globals and the loop, one per process.
Source/Platform/Wayland/Wayland.FormWindow.cppm:18 | Where a compositor event becomes something the framework understands.
Source/Platform/Wayland/Wayland.Keyboard.cppm:12 | One press as the framework hears it: the key, the modifiers, the character.
Source/Platform/Wayland/Wayland.Keyboard.cppm:66 | The keyboard as xkbcommon describes it, and nothing of the protocol.
Source/Platform/Wayland/Wayland.ShmBuffer.cppm:15 | Pixels the compositor can read without being sent them.
Source/Platform/Wayland_Facade.cppm:13 | What an application is built against on Wayland.
Source/Platform/Windows/Windows.Composition.cppm:19 | The pixels of a composed window, hung on a DirectComposition visual.
Source/StdActions/StdActions.Transfer.cppm:10 | The framework's own rich text on the clipboard, as a named format.
Source/Y-Core/AppTheme/AppTheme_Metrics.cppm:48 | The shadow a window casts, in logical pixels.
Source/Y-Core/Context/AppContext.cppm:146 | The application wears the colours it is leaving for as long as this is alive.
Source/Y-Core/Context/FormContext.cppm:133 | What the display server called this press, for a request the key justifies.
Source/Y-Core/Context/FormContext.cppm:150 | The frame a window wears, in real pixels: margins, border ring, corner radius.
Source/Y-Core/Context/FormContext.cppm:204 | What a window asks to be placed by, all of it the form's own knowledge.
Source/Y-Core/Context/PaintIconEvent.cppm:10 | An icon being painted, from a control's paint or from a text run.
Source/Y-Core/Dom/DomEngine_Dt.cppm:102 | A section of the described tree, keyed or a grouping in the source alone.
